419	2014-02-12	2014-02-20	2014-02-21	2			Cancelled
587	2014-02-12	2014-02-11	2014-02-11	1			Approved
521	2014-02-12	2014-02-11	2014-02-11	1	Sick leave		Approved
521	2014-02-12	2014-02-14	2014-02-14	1	Going Hyderabad		Approved
111	2014-02-12	2014-02-17	2014-02-17	1	son's birthday		Pending
490	2014-02-12	2014-02-05	2014-02-07	3	Casual leave		Approved
498	2014-02-13	2014-02-11	2014-02-11	1	Taken off		Approved
614	2014-02-13	2014-02-10	2014-02-10	1	Personal	aPPROVED	Approved
437	2014-02-13	2014-01-28	2014-01-28	1			Approved
437	2014-02-13	2014-02-03	2014-02-11	7			Approved
611	2014-02-13	2014-02-12	2014-02-12	1			Approved
660	2014-02-13	2014-02-10	2014-02-10	1	Sick	APPROVED	Approved
300	2014-02-13	2014-02-11	2014-02-12	2	I am only taking 2 days of vacation instead of requested 4 days this week		Approved
608	2014-02-13	2014-01-27	2014-01-31	5	Personal 		Approved
608	2014-02-13	2014-02-06	2014-02-06	1	Personal		Approved
478	2014-02-13	2014-01-02	2014-01-03	2			Approved
478	2014-02-13	2014-01-13	2014-01-15	3			Approved
478	2014-02-13	2014-02-06	2014-02-12	5			Approved
606	2014-02-14	2014-02-17	2014-02-17	1	Traveling		Pending
469	2014-02-14	2014-02-13	2014-02-13	1			Pending
543	2014-02-14	2014-03-18	2014-03-26	7	Brother's Marriage	Enjoy..	Approved
265	2014-02-17	2014-02-17	2014-02-17	1	Unwell		Approved
548	2014-02-17	2014-02-14	2014-02-14	1			Approved
614	2014-02-17	2014-03-14	2014-03-21	6	Personal	aPPROVED	Approved
627	2014-02-17	2014-02-11	2014-02-14	4			Approved
612	2014-02-17	2014-02-04	2014-02-04	1	Sick	Approved	Approved
612	2014-02-17	2014-02-14	2014-02-14	1	Personal Work	Approved	Approved
657	2014-02-17	2014-02-04	2014-02-04	1	1 day leave		Approved
657	2014-02-17	2014-02-10	2014-02-10	1	1 Day leave		Approved
259	2014-02-17	2014-02-17	2014-02-17	1			Pending
578	2014-02-17	2014-03-10	2014-03-14	5	Going Home		Approved
290	2014-02-17	2014-02-03	2014-02-11	7			Approved
104	2014-02-18	2014-04-15	2014-04-18	4			Approved
104	2014-02-18	2014-04-24	2014-04-29	4			Approved
104	2014-02-18	2014-05-09	2014-05-16	6			Approved
104	2014-02-18	2014-05-22	2014-05-28	5			Approved
604	2014-02-18	2014-02-04	2014-02-04	1	Casual leave		Approved
411	2014-02-18	2014-02-17	2014-02-17	1			Pending
310	2014-02-18	2014-02-17	2014-02-17	1	Personal Leave	approved	Approved
333	2014-02-18	2014-02-13	2014-02-14	2			Approved
519	2014-02-18	2014-04-14	2014-04-22	7	Personal		Approved
208	2014-02-18	2014-02-17	2014-02-17	1	personal		Approved
